caldt,vwretd
01/02/1973,0.008866
01/03/1973,0.004016
01/04/1973,-0.001980
01/05/1973,0.003887
01/08/1973,-0.000208
01/09/1973,-0.000821
01/10/1973,-0.002391
01/11/1973,0.006840
01/12/1973,-0.008031
01/15/1973,-0.007214
01/16/1973,-0.002526
01/17/1973,0.004521
01/18/1973,0.001475
01/19/1973,-0.000655
01/22/1973,-0.004828
01/23/1973,0.000242
01/24/1973,-0.012683
01/26/1973,-0.002339
01/29/1973,-0.003538
01/30/1973,-0.001212
01/31/1973,0.001933
02/01/1973,-0.010907
02/02/1973,-0.003568
02/05/1973,-0.000003
02/06/1973,0.002161
02/07/1973,-0.006591
02/08/1973,-0.003805
02/09/1973,0.013785
02/12/1973,0.011907
02/13/1973,0.006307
02/14/1973,-0.014400
02/15/1973,-0.005697
02/16/1973,0.004819
02/20/1973,0.003814
02/21/1973,-0.006251
02/22/1973,-0.002151
02/23/1973,-0.010701
02/26/1973,-0.008438
02/27/1973,-0.011285
02/28/1973,0.007211
03/01/1973,-0.005756
03/02/1973,0.011101
03/05/1973,0.003587
03/06/1973,0.012652
03/07/1973,0.003203
03/08/1973,-0.001851
03/09/1973,-0.003855
03/12/1973,0.000789
03/13/1973,0.005538
03/14/1973,0.004446
03/15/1973,-0.007426
03/16/1973,-0.005049
03/19/1973,-0.012123
03/20/1973,-0.002106
03/21/1973,-0.013273
03/22/1973,-0.015029
03/23/1973,0.000319
03/26/1973,0.009020
03/27/1973,0.015666
03/28/1973,0.000615
03/29/1973,0.009924
03/30/1973,-0.010651
04/02/1973,-0.011918
04/03/1973,-0.008584
04/04/1973,-0.004321
04/05/1973,-0.002308
04/06/1973,0.007001
04/09/1973,0.014645
04/10/1973,0.012361
04/11/1973,0.004323
04/12/1973,-0.001060
04/13/1973,-0.004373
04/16/1973,-0.005748
04/17/1973,-0.004431
04/18/1973,0.005473
04/19/1973,0.005677
04/23/1973,-0.005408
04/24/1973,-0.014126
04/25/1973,-0.015008
04/26/1973,0.004985
04/27/1973,-0.015358
04/30/1973,-0.001942
05/01/1973,0.001491
05/02/1973,0.013012
05/03/1973,0.017035
05/04/1973,0.007605
05/07/1973,-0.003928
05/08/1973,0.006578
05/09/1973,-0.007280
05/10/1973,-0.008053
05/11/1973,-0.011926
05/14/1973,-0.020953
05/15/1973,0.006819
05/16/1973,-0.001171
05/17/1973,-0.008239
05/18/1973,-0.016096
05/21/1973,-0.010703
05/22/1973,0.008337
05/23/1973,0.005025
05/24/1973,0.030336
05/25/1973,0.007848
05/29/1973,-0.003954
05/30/1973,-0.014872
05/31/1973,-0.009160
06/01/1973,-0.009730
06/04/1973,-0.009218
06/05/1973,0.016216
06/06/1973,-0.002902
06/07/1973,0.014865
06/08/1973,0.011417
06/11/1973,-0.002822
06/12/1973,0.015011
06/13/1973,-0.006451
06/14/1973,-0.011063
06/15/1973,-0.012254
06/18/1973,-0.014369
06/19/1973,0.003920
06/20/1973,0.004345
06/21/1973,-0.011894
06/22/1973,0.004823
06/25/1973,-0.013871
06/26/1973,0.010459
06/27/1973,0.003150
06/28/1973,0.010354
06/29/1973,-0.004096
07/02/1973,-0.013095
07/03/1973,-0.010102
07/05/1973,-0.000944
07/06/1973,-0.004926
07/09/1973,0.008613
07/10/1973,0.013790
07/11/1973,0.022279
07/12/1973,-0.002930
07/13/1973,-0.013465
07/16/1973,0.015572
07/17/1973,0.000374
07/18/1973,0.005974
07/19/1973,0.001911
07/20/1973,0.005680
07/23/1973,0.003479
07/24/1973,0.005952
07/25/1973,0.014077
07/26/1973,0.001762
07/27/1973,-0.002562
07/30/1973,-0.002731
07/31/1973,-0.009340
08/01/1973,-0.012665
08/02/1973,-0.000817
08/03/1973,-0.001657
08/06/1973,0.002897
08/07/1973,-0.001616
08/08/1973,-0.008937
08/09/1973,0.000544
08/10/1973,-0.007581
08/13/1973,-0.009783
08/14/1973,-0.009554
08/15/1973,0.003262
08/16/1973,-0.006415
08/17/1973,-0.000051
08/20/1973,-0.006641
08/21/1973,-0.007120
08/22/1973,-0.003466
08/23/1973,0.013891
08/24/1973,-0.002101
08/27/1973,0.008261
08/28/1973,0.006040
08/29/1973,0.009667
08/30/1973,-0.001409
08/31/1973,0.003720
09/04/1973,0.002907
09/05/1973,0.001336
09/06/1973,0.004969
09/07/1973,-0.003707
09/10/1973,-0.008460
09/11/1973,-0.005947
09/12/1973,-0.001512
09/13/1973,0.003147
09/14/1973,0.010663
09/17/1973,-0.002715
09/18/1973,-0.003615
09/19/1973,0.020565
09/20/1973,0.008384
09/21/1973,0.004110
09/24/1973,0.001593
09/25/1973,0.006390
09/26/1973,0.007245
