caldt,vwretd
19730102,0.008866
19730103,0.004016
19730104,-0.001980
19730105,0.003887
19730108,-0.000208
19730109,-0.000821
19730110,-0.002391
19730111,0.006840
19730112,-0.008031
19730115,-0.007214
19730116,-0.002526
19730117,0.004521
19730118,0.001475
19730119,-0.000655
19730122,-0.004828
19730123,0.000242
19730124,-0.012683
19730126,-0.002339
19730129,-0.003538
19730130,-0.001212
19730131,0.001933
19730201,-0.010907
19730202,-0.003568
19730205,-0.000003
19730206,0.002161
19730207,-0.006591
19730208,-0.003805
19730209,0.013785
19730212,0.011907
19730213,0.006307
19730214,-0.014400
19730215,-0.005697
19730216,0.004819
19730220,0.003814
19730221,-0.006251
19730222,-0.002151
19730223,-0.010701
19730226,-0.008438
19730227,-0.011285
19730228,0.007211
19730301,-0.005756
19730302,0.011101
19730305,0.003587
19730306,0.012652
19730307,0.003203
19730308,-0.001851
19730309,-0.003855
19730312,0.000789
19730313,0.005538
19730314,0.004446
19730315,-0.007426
19730316,-0.005049
19730319,-0.012123
19730320,-0.002106
19730321,-0.013273
19730322,-0.015029
19730323,0.000319
19730326,0.009020
19730327,0.015666
19730328,0.000615
19730329,0.009924
19730330,-0.010651
19730402,-0.011918
19730403,-0.008584
19730404,-0.004321
19730405,-0.002308
19730406,0.007001
19730409,0.014645
19730410,0.012361
19730411,0.004323
19730412,-0.001060
19730413,-0.004373
19730416,-0.005748
19730417,-0.004431
19730418,0.005473
19730419,0.005677
19730423,-0.005408
19730424,-0.014126
19730425,-0.015008
19730426,0.004985
19730427,-0.015358
19730430,-0.001942
19730501,0.001491
19730502,0.013012
19730503,0.017035
19730504,0.007605
19730507,-0.003928
19730508,0.006578
19730509,-0.007280
19730510,-0.008053
19730511,-0.011926
19730514,-0.020953
19730515,0.006819
19730516,-0.001171
19730517,-0.008239
19730518,-0.016096
19730521,-0.010703
19730522,0.008337
19730523,0.005025
19730524,0.030336
19730525,0.007848
19730529,-0.003954
19730530,-0.014872
19730531,-0.009160
19730601,-0.009730
19730604,-0.009218
19730605,0.016216
19730606,-0.002902
19730607,0.014865
19730608,0.011417
19730611,-0.002822
19730612,0.015011
19730613,-0.006451
19730614,-0.011063
19730615,-0.012254
19730618,-0.014369
19730619,0.003920
19730620,0.004345
19730621,-0.011894
19730622,0.004823
19730625,-0.013871
19730626,0.010459
19730627,0.003150
19730628,0.010354
19730629,-0.004096
19730702,-0.013095
19730703,-0.010102
19730705,-0.000944
19730706,-0.004926
19730709,0.008613
19730710,0.013790
19730711,0.022279
19730712,-0.002930
19730713,-0.013465
19730716,0.015572
19730717,0.000374
19730718,0.005974
19730719,0.001911
19730720,0.005680
19730723,0.003479
19730724,0.005952
19730725,0.014077
19730726,0.001762
19730727,-0.002562
19730730,-0.002731
19730731,-0.009340
19730801,-0.012665
19730802,-0.000817
19730803,-0.001657
19730806,0.002897
19730807,-0.001616
19730808,-0.008937
19730809,0.000544
19730810,-0.007581
19730813,-0.009783
19730814,-0.009554
19730815,0.003262
19730816,-0.006415
19730817,-0.000051
19730820,-0.006641
19730821,-0.007120
19730822,-0.003466
19730823,0.013891
19730824,-0.002101
19730827,0.008261
19730828,0.006040
19730829,0.009667
19730830,-0.001409
19730831,0.003720
19730904,0.002907
19730905,0.001336
19730906,0.004969
19730907,-0.003707
19730910,-0.008460
19730911,-0.005947
19730912,-0.001512
19730913,0.003147
19730914,0.010663
19730917,-0.002715
19730918,-0.003615
19730919,0.020565
