date,TCMNOM_Y1
19730101,
19730102,5.72
19730103,5.69
19730104,5.67
19730105,5.7
19730108,5.74
19730109,5.74
19730110,5.76
19730111,5.79
19730112,5.87
19730115,5.87
19730116,5.89
19730117,5.88
19730118,5.89
19730119,5.93
19730122,5.94
19730123,5.95
19730124,6.02
19730125,6.04
19730126,6.19
19730129,6.16
19730130,6.08
19730131,6.09
19730201,6.2
19730202,6.23
19730205,6.22
19730206,6.23
19730207,6.18
19730208,6.12
19730209,6.06
19730212,
19730213,6.08
19730214,6.05
19730215,6
19730216,6.01
19730219,
19730220,6.13
19730221,6.21
19730222,6.21
19730223,6.23
19730226,6.38
19730227,6.43
19730228,6.43
19730301,6.43
19730302,6.47
19730305,6.52
19730306,6.63
19730307,6.63
19730308,6.66
19730309,6.74
19730312,6.77
19730313,6.8
19730314,6.85
19730315,6.93
19730316,7.13
19730319,7.06
19730320,7.02
19730321,7.02
19730322,7.03
19730323,7.01
19730326,6.98
19730327,6.96
19730328,6.98
19730329,6.99
19730330,7.09
19730402,7.09
19730403,7.07
19730404,7.03
19730405,7
19730406,6.87
19730409,6.77
19730410,6.79
19730411,6.85
19730412,6.86
19730413,6.81
19730416,6.77
19730417,6.77
19730418,6.74
19730419,6.77
19730420,
19730423,6.82
19730424,6.79
19730425,6.8
19730426,6.76
19730427,6.77
19730430,6.8
19730501,6.83
19730502,6.83
19730503,6.84
19730504,6.83
19730507,6.83
19730508,6.81
19730509,6.74
19730510,6.72
19730511,6.76
19730514,6.75
19730515,6.71
19730516,6.7
19730517,6.85
19730518,6.91
19730521,6.97
19730522,7
19730523,7.08
19730524,7.04
19730525,7.04
19730528,
19730529,7.1
19730530,7.16
19730531,7.16
19730601,7.22
19730604,7.28
19730605,7.23
19730606,7.21
19730607,7.2
19730608,7.2
19730611,7.23
19730612,7.2
19730613,7.19
19730614,7.2
19730615,7.19
19730618,7.25
19730619,7.29
19730620,7.29
19730621,7.29
19730622,7.34
19730625,7.39
19730626,7.41
19730627,7.53
19730628,7.58
19730629,7.74
19730702,7.98
19730703,8.03
19730704,
19730705,8.06
19730706,8.11
19730709,8.19
19730710,8.12
19730711,8.02
19730712,8.08
19730713,8.19
19730716,8.24
19730717,8.26
19730718,8.38
19730719,8.54
19730720,8.61
19730723,8.61
19730724,8.67
19730725,8.71
19730726,8.75
19730727,8.86
19730730,8.89
19730731,8.87
19730801,8.91
19730802,8.91
19730803,8.94
19730806,9.08
19730807,9.23
19730808,9.2
19730809,9.18
19730810,9.22
19730813,9.15
19730814,9.01
19730815,8.97
19730816,8.76
19730817,8.58
19730820,8.77
19730821,8.76
19730822,8.75
19730823,8.55
19730824,8.45
19730827,8.51
19730828,8.54
19730829,8.51
19730830,8.47
19730831,8.47
19730903,
19730904,8.46
19730905,8.36
