"","PERMNO","date","RET"
"1",10001,20100210,-0.017133
"2",10001,20100311,0.002185
"3",10001,20100413,0.003014
"4",10001,20100512,-0.007974
"5",10001,20100611,-0.002949
"6",10001,20100713,0.004091
"7",10001,20100811,0.000424
"8",10001,20100913,-0.004911
"9",10001,20101013,0.008536
"10",10001,20101110,-0.083411
"11",10001,20101213,0.012019
"12",10001,20110112,0.010911
"13",10001,20110211,0.004147
"14",10001,20110311,0.004076
"15",10001,20110413,0.003842
"16",10001,20110511,0.00758
"17",10001,20110613,0.000435
"18",10001,20110713,-0.00382
"19",10001,20110811,0.005233
"20",10001,20110913,0.007075
"21",10001,20111012,-0.000452
"22",10001,20111110,0.002269
"23",10001,20111213,-0.000455
"24",10001,20120111,-0.018926
"25",10001,20120213,0.005805
"26",10001,20120313,-0.005752
"27",10001,20120411,-0.010213
"28",10001,20120511,-0.002218
"29",10001,20120613,-0.010155
"30",10001,20120711,0.010324
"31",10001,20120813,-0.003486
"32",10001,20120912,0.0015
"33",10001,20121011,0.005478
"34",10001,20121113,-0.012513
"35",10001,20121211,0.004783
"36",10001,20130111,-0.00455
"37",10001,20130213,0
"38",10001,20130313,0.010458
"39",10001,20130411,0.001487
"40",10001,20130513,0.010116
"41",10001,20130612,-0.021087
"42",10001,20130711,-0.034762
"43",10001,20130813,-0.005288
"44",10001,20130911,-0.001438
"45",10001,20131010,0.008325
"46",10001,20131113,0.006586
"47",10001,20131211,0.000625
"48",10001,20140113,-0.002712
"49",10001,20140212,0.008799
"50",10001,20140312,-0.000515
"51",10001,20140411,-0.006385
"52",10001,20140513,-0.012397
"53",10001,20140611,-0.009082
"54",10001,20140711,0.000479
"55",10001,20140813,0.004591
"56",10001,20140911,0.052232
"57",10001,20141010,-0.001316
"58",10001,20141113,0.003947
"59",10001,20141217,-0.008452
"60",10026,20100311,0.004243
"61",10026,20100611,-0.005238
"62",10026,20100913,0.007921
"63",10026,20101213,-0.003161
"64",10026,20110311,-0.011338
"65",10026,20110613,-0.001118
"66",10026,20110913,0.010829
"67",10026,20111213,-0.020489
"68",10026,20120313,0.01158
"69",10026,20120613,-0.000535
"70",10026,20120912,0.002452
"71",10026,20121207,-0.005825
"72",10026,20130307,-0.002559
"73",10026,20130611,-0.010042
"74",10026,20130912,0.003878
"75",10026,20131218,0.00491
"76",10026,20140312,0.002314
"77",10026,20140611,-0.007181
"78",10026,20140911,0.004771
"79",10026,20141219,-0.013213
"80",10044,20100224,0.003448
"81",10044,20100525,-0.013513
"82",10044,20100902,0.028332
"83",10044,20101126,-0.009278
"84",10044,20110223,0.00291
"85",10044,20110524,0.00583
"86",10044,20110901,0.019494
"87",10044,20111125,0.022714
"88",10044,20120229,0.008502
"89",10044,20120522,-0.013183
"90",10044,20120830,0.009242
"91",10044,20121128,0.005792
"92",10044,20130227,0.004878
"93",10044,20130531,-0.003028
"94",10044,20130829,-0.003239
"95",10044,20131126,0.021854
"96",10044,20140226,0.01113
"97",10044,20140530,-0.011864
"98",10044,20140828,0.015044
"99",10044,20141125,0.008703
"100",10065,20100210,0
"101",10065,20100512,0.017375
"102",10065,20100811,-0.025416
"103",10065,20110511,-0.009607
"104",10065,20110810,-0.041068
"105",10065,20120510,0.000928
"106",10065,20120808,0.001827
"107",10065,20130513,0.001646
"108",10065,20130813,0
"109",10065,20140512,0.006829
"110",10065,20140808,0.010378
"111",10104,20100412,0.004592
"112",10104,20100712,0.002567
"113",10104,20101004,-0.010465
"114",10104,20110114,0.003688
"115",10104,20110411,0.009094
"116",10104,20110711,-0.021803
"117",10104,20111007,-0.003326
"118",10104,20120109,0.005941
"119",10104,20120409,-0.016576
"120",10104,20120711,0.008262
"121",10104,20121010,-0.000326
"122",10104,20121212,-0.006803
"123",10104,20130710,-0.005236
"124",10104,20131004,0.002708
"125",10104,20140103,-0.002643
"126",10104,20140404,-0.006688
"127",10104,20140707,-0.007983
"128",10104,20141006,0.007971
"129",10107,20100216,0.019692
"130",10107,20100518,-0.007343
"131",10107,20100817,0.013878
"132",10107,20101116,-0.008779
"133",10107,20110215,-0.00404
"134",10107,20110517,0.004477
"135",10107,20110816,0
"136",10107,20111115,0.006726
"137",10107,20120214,-0.004251
"138",10107,20120515,-0.008801
"139",10107,20120814,-0.001974
"140",10107,20121113,-0.03191
"141",10107,20130219,0.009461
"142",10107,20130514,0.022101
"143",10107,20130813,-0.012473
"144",10107,20131119,-0.004839
"145",10107,20140218,0.002127
"146",10107,20140513,0.018264
"147",10107,20140819,0.011084
"148",10107,20141118,-0.008289
"149",10113,20101223,0.00337
"150",10113,20110624,0.004601
"151",10113,20111223,0.013449
"152",10113,20120625,-0.011632
"153",10113,20120924,-0.01161
"154",10113,20121224,-0.008662
"155",10113,20130322,-0.002952
"156",10113,20130624,-0.013658
"157",10113,20130924,-0.003436
"158",10113,20131224,-0.045396
