"","PERMNO","YEAR","RET-bji","RET-yxia"
"1","10000","1986"," 7.317095e-02",-0.882142847534233
"2","10000","1987","-8.035716e-01",-0.575757347902162
"3","10001","1986"," 8.700000e-02",0.217369077869878
"4","10001","1987"," 2.080000e-01",-0.101275120033897
"5","10001","1988"," 1.080000e-01",0.163160192505212
"6","10001","1989"," 6.240697e+03",0.687925758196561
"7","10001","1990","-5.040000e-07",-0.00872116396250855
"8","10001","1990"," 1.170000e+00",-0.00872116396250855
"9","10001","1992","-3.530000e-02",0.0126212448615792
"10","10001","1993"," 5.920000e-01",0.367996674792745
"11","10001","1994"," 1.196273e+04",0.00661683922583922
"12","10001","1995"," 1.321874e+04",0.228628312761812
"13","10001","1996"," 1.478048e+04",-0.0904477753414937
"14","10001","1997"," 2.064305e+04",0.164265312070448
"15","10001","1998"," 2.008194e+04",0.124245382179036
"16","10001","1999"," 2.019725e+04",-0.0662204039996153
"17","10001","2000"," 2.065442e+04",0.21472490005584
"18","10001","2001"," 2.090616e+04",0.229015048379317
"19","10001","2002"," 1.282081e-02",-0.318478502115107
"20","10001","2003"," 2.151579e-01",-0.176303537283407
"21","10001","2004"," 2.598278e+04",0.159663200958041
"22","10001","2005"," 1.344539e-01",0.411362899281196
"23","10001","2006","-1.331968e-02",0.181931701624285
"24","10001","2007"," 2.022686e+04",0.334089491911573
"25","10001","2008"," 7.049301e-01",-0.0581975504709265
"26","10001","2009"," 4.032906e+04",0.324435340774233
"27","10001","2010"," 3.935283e+04",0.0739937152689896
"28","10001","2011"," 3.823145e+04",0.139163138738249
"29","10001","2012"," 4.545745e+04",-0.139379698570181
"30","10001","2013"," 9.258035e+04",-0.090693841501766
"31","10001","2014"," 8.495198e+04",0.442748934495806
"32","10001","2015"," 8.838824e+04",-0.282165270445762
"33","10001","2016"," 1.380000e-01",0.740636606645356
"34","10002","1986","-3.723442e-02",0.0645152560658284
"35","10002","1987"," 9.392842e-02",-0.191918257818693
"36","10002","1988","-1.049689e-01",-0.16250041956534
"37","10002","1989"," 1.400362e+04",-0.268657418139746
"38","10002","1990"," 2.040800e-02",-0.183673167216774
"39","10002","1990","-4.585636e-01",-0.183673167216774
"40","10002","1992","-2.000012e-01",0.499999482705257
"41","10002","1993","-4.000205e-02",0.464996990332497
"42","10002","1994"," 7.609003e+03",0.0394734639437373
"43","10002","1995"," 1.054382e+04",0.0921287627351954
"44","10002","1996"," 1.490306e+04",-0.0440776920193253
"45","10002","1997"," 4.082720e+04",0.962960322570469
"46","10002","1998"," 4.080507e+04",-0.0481709062204361
"47","10002","1999"," 5.366162e+04",-0.179592566891403
"48","10002","2000"," 7.185807e+04",-0.212422789534577
"49","10002","2001"," 8.281756e+04",0.119580916310851
"50","10002","2002"," 3.400000e-02",0.171631590246135
"51","10002","2003"," 5.510000e-02",0.492715251900591
"52","10002","2004"," 9.282631e+04",0.578180095814652
"53","10002","2005"," 5.620000e-03",-0.161573788664541
"54","10002","2006"," 5.310000e-01",0.296736698637352
"55","10002","2007"," 2.068588e+05",-0.510884822385367
"56","10002","2008"," 7.060000e-01",0.28261156406498
"57","10002","2009"," 2.072082e+05",-0.804133121910148
"58","10002","2010"," 1.808187e+05",-0.0696870714396928
"59","10002","2011"," 1.325430e+05",-0.535581071802503
"60","10002","2012"," 1.105171e+05",1.24193909157905
"61","10002","2013"," 2.210064e+04",0.035971
"62","10002","2014"," 4.262005e+04",NA
"63","10003","1986"," 1.283784e-01",-0.124999625295767
"64","10003","1987","-5.389832e-02",-0.256049288636986
"65","10003","1988","-3.139905e-01",0.429047577799049
"66","10003","1989"," 4.149565e+04",-0.532994706191455
"67","10003","1990","-5.272274e-01",-0.705881959290737
"68","10003","1990"," 1.617652e-01",-0.705881959290737
"69","10003","1992","-7.307693e-01",2.26316128616267
"70","10003","1993","-8.621795e-01",-0.338710522451343
